,Show_Type_ID,Types
969,ST439,International Movies
970,ST440,Comedies
971,ST440,Romantic Movies
972,ST441,International TV Shows
973,ST441,Spanish-Language TV Shows
974,ST441,TV Comedies
975,ST442,International Movies
976,ST442,Romantic Movies
977,ST443,Documentaries
978,ST444,Documentaries
979,ST444,International Movies
980,ST444,Music & Musicals
981,ST445,Dramas
982,ST445,International Movies
983,ST445,Romantic Movies
984,ST446,Comedies
985,ST446,Dramas
986,ST446,International Movies
987,ST447,Action & Adventure
988,ST447,Classic Movies
989,ST447,Comedies
990,ST448,Dramas
991,ST448,International Movies
992,ST449,Dramas
993,ST449,Independent Movies
994,ST449,Sports Movies
995,ST450,British TV Shows
996,ST450,International TV Shows
997,ST450,Reality TV
998,ST451,Documentaries
999,ST452,Docuseries
1000,ST453,Reality TV
1001,ST454,Documentaries
1002,ST455,Action & Adventure
1003,ST456,Dramas
1004,ST457,Documentaries
1005,ST458,Crime TV Shows
1006,ST458,TV Dramas
1007,ST459,Crime TV Shows
1008,ST459,TV Dramas
1009,ST460,Documentaries
1010,ST461,Docuseries
1011,ST462,Documentaries
1012,ST463,Documentaries
1013,ST464,Documentaries
1014,ST465,Thrillers
1015,ST466,Action & Adventure
1016,ST466,Dramas
1017,ST467,Dramas
1018,ST468,Dramas
1019,ST468,Independent Movies
1020,ST469,TV Horror
1021,ST469,TV Mysteries
1022,ST469,TV Thrillers
1023,ST470,Documentaries
1024,ST470,Sports Movies
1025,ST471,Documentaries
1026,ST472,TV Dramas
1027,ST472,TV Thrillers
1028,ST473,Comedies
1029,ST474,Comedies
1030,ST474,Cult Movies
1031,ST474,Dramas
1032,ST475,Dramas
1033,ST476,Crime TV Shows
1034,ST476,TV Comedies
1035,ST476,Teen TV Shows
1036,ST477,Dramas
1037,ST478,Stand-Up Comedy
1038,ST479,International TV Shows
1039,ST479,TV Dramas
1040,ST480,Comedies
1041,ST480,International Movies
1042,ST481,Dramas
1043,ST481,International Movies
1044,ST481,Music & Musicals
1045,ST482,Documentaries
1046,ST482,International Movies
1047,ST482,Music & Musicals
1048,ST483,Stand-Up Comedy
1049,ST484,Stand-Up Comedy
